Pays;Inflation
Allemagne;2,171788
Australie;2,874038
Autriche;3,527194
Belgique;2,467055
Colombie;5,142237
Corée;2,123094
Danemark;1,893674
Espagne;2,673067
Estonie;4,828044
Finlande;0,3378747
France;0,9437702
Grèce;2,481621
Hongrie;4,411984
Irlande;2,210448
Islande;4,090915
Israël;3,041413
Italie;1,531668
Lettonie;3,74577
Lituanie;3,791705
Luxembourg;2,257238
Norvège;3,055625
Nouvelle-Zélande;2,839796
Pays-Bas;3,259577
Pologne;3,641667
Portugal;2,336016
Royaume-Uni;3,9
Slovaquie;4,000428
Slovénie;2,372848
Suède;0,6798693
Suisse;0,154377
Tchéquie;2,459964
