Pays;R&D_%PIB
Allemagne;3,128664165
Australie;1,682148487
Autriche;3,223760924
Belgique;3,238811512
Canada;1,935484306
Corée;4,943523396
Costa-Rica;0,337383968
Danemark;3,066791239
Espagne;1,494173906
Estonie;1,830835816
Etats-Unis;3,423455829
Finlande;3,09127635
France;2,175165889
Grèce;1,497696853
Hongrie;1,382529813
Irlande;1,54356584
Islande;2,619249085
Israel;6,958948349
Italie;1,372044278
Japon;3,44124934
Lettonie;0,819607301
Lituanie;1,042366028
Luxembourg;1,055806659
Norvège;1,851424201
Nouvelle-Zélande;1,54848304
Pays-Bas;2,304896142
Pologne;1,555246812
Portugal;1,679674471
Royaume-Uni;2,753363172
Slovaquie;1,036049209
Slovénie;2,130563275
Suède;3,640187414
Suisse;3,103760271
Tchéquie;1,823841885
Turquie;1,393583652
