Pays;Depense_publique_education_%PIB
Allemagne;2,9056029
Australie;3,685792
Autriche;2,9595871
Belgique;4,2491679
Canada;3,3569641
Chili;3,1286011
Colombie;4,1143298
Corée;3,3287151
Costa Rica;4,38717
Danemark;3,6984589
Espagne;3,082788
Estonie;3,161783
États-Unis;3,294661
Finlande;3,818289
France;3,531127
Hongrie;2,393662
Irlande;2,1495969
Islande;4,7800159
Israël;4,6049042
Italie;3,012342
Japon;2,492445
Lettonie;2,78532
Lituanie;2,531203
Luxembourg;2,818198
Mexique;2,820168
Moyenne OCDE;3,332777
Norvège;4,651876
Nouvelle-Zélande;3,395983
Pays-Bas;3,1251941
Pologne;2,912576
Portugal;3,379765
Royaume-Uni;3,700649
Slovaquie;3,0407269
Slovénie;3,104476
Suède;4,0542369
Tchéquie;3,1220601
Turquie;2,435077
