Pays;Esp_vie
Allemagne;80,7
Australie;83,2
Autriche;81,4
Belgique;81,8
Canada;81,3
Chili;81,2
Colombie;76,9
Corée;82,7
Costa Rica;80,9
Danemark;81,3
Espagne;83,2
Estonie;78,1
États-Unis;77,5
Finlande;81,2
France;82,3
Grèce;80,8
Hongrie;76
Irlande;82,6
Islande;82,1
Israël;82,8
Italie;82,8
Japon;84,1
Lettonie;74,5
Lituanie;75,8
Luxembourg;83
Mexique;75,2
Norvège;82,5
Nouvelle-Zélande;82
Pays-Bas;81,7
Pologne;77,2
Portugal;81,8
Slovaquie;77
Royaume-Uni;80,9
Slovénie;81,3
Suède;83,1
Suisse;83,7
Tchéquie;79
Turquie;77,3
