Pays;productivité_horaire
Allemagne;93,7210347339664
Australie;83,6586874513012
Autriche;94,1111173721532
Belgique;100,328280540086
Canada;73,4396235617393
Chili;36,5070528753659
Colombie;21,348914104812
Corée;54,6397698899177
Costa Rica;31,8367630694602
Danemark;99,2360661597304
Espagne;73,4218980588618
Estonie;57,909004157712
États-Unis;97,0466946503153
Finlande;83,0106727157961
France;87,2951023512776
Grèce;44,8776833986258
Hongrie;54,7382351165394
Irlande;153,640637866571
Islande;95,8663942959901
Israël;60,5115476834221
Italie;77,0888912689205
Japon;56,2659306829304
Lettonie;53,2258058114334
Lituanie;60,3948413771154
Luxembourg;126,453606448175
Mexique;24,9715321074511
Norvège;132,277085659747
Nouvelle-Zélande;55,4181142623918
OCDE;70,5998486440122
Pays-Bas;92,8923078531771
Pologne;54,1594994148502
Portugal;55,6968697260965
Royaume-Uni;79,4894429745262
Slovaquie;60,1296541031136
Slovénie;65,5006755983053
Suède;89,5980434031395
Suisse;99,2380932583783
Tchéquie;60,1821327107448
