Pays	tx_cho
Allemagne	3,391667
Australie	4,01424
Autriche	5,175
Belgique	5,7
Canada	6,35
Chili	8,462
Colombie	10,16583
Corée	2,8
Costa Rica	7,452444
Danemark	6,191667
Espagne	11,35833
Estonie	7,608333
États-Unis	4,016667
Finlande	8,383333
France	7,391667
Grèce	10,11667
Hongrie	4,391667
Irlande	4,3
Islande	3,358333
Israël	2,966667
Italie	6,516667
Japon	2,55
Lettonie	6,925
Lituanie	7,133333
Luxembourg	6,3
Mexique	2,671273
Norvège	4,025
Nouvelle-Zélande	4,75
OCDE	4,92069
Pays-Bas	3,666667
Pologne	2,9
Portugal	6,458333
Royaume-Uni	4,275
Slovaquie	5,341667
Slovénie	3,708333
Suède	8,35
Suisse	4,340684
Tchéquie	2,775
Turquie	8,741667
