Pays;dette_publique_%
Japon;227,994
Grèce;180,337
Italie;147,473
Etats-Unis;121,691
France;116,269
Espagne;111,205
OCDE;110,01
Belgique;104,118
Portugal;103,767
Canada;101,388
Royaume_Uni;96,593
Hongrie;81,726
Autriche;81,667
Finlande;80,116
Slovénie;70,375
Islande;68,57
Slovaquie;63,587
Allemagne;63,331
Pologne;62,06
Mexique;55,981
Lituanie;54,228
Australie;54,006
Pays-Bas;50,841
Norvège;50,155
Tchéquie;48,412
Irelande;44,639
Chili;43,15
Suisse;42,651
Danemark;39,901
Suiise;39,22
Lituanie;38,559
Turquie;35,265
Luxembourg;30,44
Estonie;28,847
Corée;
Israël;
Nouvelle-Zélande;
