Pays	tx_pib_reel
Israël	4,86852111845504
Costa Rica	3,4676316125514
Turquie	3,37929016790369
Pologne	3,37670833145273
Lituanie	3,06767699156011
Estonie	2,87271440739683
Colombie	2,81316519458809
Suède	2,58795588192747
Slovénie	2,3100171903682
Australie	2,25149566189128
Grèce	2,23570190247487
Portugal	2,2174814111018
Espagne	2,20497165906568
Chili	2,15167275027166
Irlande	2,09616153223611
Corée	2,08106068049342
Lettonie	2,05104654601318
Tchéquie	2,04044325736767
Danemark	2,01728268706702
Hongrie	1,89458623474543
Luxembourg	1,87828667297107
Nouvelle-Zélande	1,76540517595582
États-Unis	1,72448091063973
OCDE	1,65461613663535
Islande	1,567157685116
Norvège	1,54797210565725
Pays-Bas	1,42299296649885
Canada	1,26815178159582
Royaume-Uni	1,16815878505261
Mexique	1,16812802789487
Suisse	1,15904507874353
Belgique	1,06539660047163
Slovaquie	1,06157804318062
Allemagne	0,995659254676937
France	0,954869354423181
Finlande	0,924850316577988
Autriche	0,901363045678892
Japon	0,892340013653012
Italie	0,61588206120129
